Outer fold,ANN n,ANN E,Linear regression lambda,Linear regression E,Baseline E
1,2.0,9.6801e-06,0.01,2.5607e-06,9.6757e-06
2,2.0,3.971e-06,0.001,3.5956e-06,7.0217e-06
3,1.0,2.10533e-05,1e-05,1.0115e-05,2.08951e-05
4,3.0,1.15783e-05,1e-06,2.2054e-06,1.15354e-05
5,3.0,1.016e-06,0.001,1.05803e-05,5.2959e-06
6,1.0,7.9195e-06,1e-07,4.9349e-06,4.9031e-06
7,3.0,7.9268e-06,0.001,1.8076e-06,1.14098e-05
8,1.0,1.29619e-05,1.0,1.9263e-06,1.29444e-05
9,3.0,4.5221e-06,1e-07,4.0261e-06,4.6575e-06
10,3.0,3.3992e-06,0.01,1.9123e-06,4.0926e-06
